"area_orig","area","counties","type","zone_ids"
"The Hood Canal Bridge north to Foulweather Bluff and east to Point No Point","","","",NA
"Dugeness Bay east to the Jefferson County line","","Clallam","",NA
"Dungeness Bay","","Clallam","zone","107"
"Dungeness Spit to Discovery Bay, including Sequim Bay","","Clallam","",NA
"Low Point west to Dungeness Spit","","Clallam","",NA
"Lyre River east to Morse Creek","","Clallam","",NA
"Middle Ground area of northwest Sequim Bay","","Clallam","",NA
"Morse Creek east to the Jefferson Co lne","","Clallam","",NA
"Morse Creek east to the Jefferson Co lne, including Dungeness Bay","","Clallam","",NA
"North end of Sequim Bay from Travis Spit to Pitship Pt","","Clallam","",NA
"Pillar Point east to the Jefferson Co line","","Clallam","",NA
"Pillar Point west to Cape Flattery","","Clallam","",NA
"Sequim Bay","","Clallam","zone","28.02"
"Sequim Bay and Discovery Bay","","Clallam","",NA
"South end of Sequim Bay from Pitship Pt to Blyn","","Clallam","",NA
"Southern portion of Sequim Bay from Paradise Cove to Blynn and Discovery Bay","","Clallam","",NA
"Strait of Juan de Fuca Dungeness Spit west to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from Cape Flattery east to Dungeness Spit","","Clallam","",NA
"Strait of Juan de Fuca from Cape Flattery east to Low Point/Lyre River","","Clallam","",NA
"Strait of Juan de Fuca from Cape Flattery east to Pillar Point","","Clallam","",NA
"Strait of Juan de Fuca from Cape Flattery east to the Jefferson County line","","Clallam","",NA
"Strait of Juan de Fuca from Cape Flattery east to the Jefferson County line, including Dungeness Bay","","Clallam","",NA
"Strait of Juan de Fuca from Cape Flattery eastward to the Jefferson County Line","","Clallam","",NA
"Strait of Juan de Fuca from Cape Flattery eastward to the Pillar Point","","Clallam","",NA
"Strait of Juan de Fuca from Cape Flattery to Dungeness Spit","","Clallam","",NA
"Strait of Juan de Fuca from Cape Flattery to Low Point","","Clallam","",NA
"Strait of Juan de Fuca from Cape Flattery to Low Point (Lyre River)","","Clallam","",NA
"Strait of Juan de Fuca from Cape Flattery to Pillar Point","","Clallam","",NA
"Strait of Juan de Fuca from Dungeness Bay west to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from Dungeness Bay west to Low Point","","Clallam","",NA
"Strait of Juan de Fuca from Dungeness Spit east to the Jefferson County line","","Clallam","",NA
"Strait of Juan de Fuca from Dungeness Spit eastward to Diamond Point","","Clallam","",NA
"Strait of Juan de Fuca from Dungeness Spit to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from Dungeness Spit to Lyre River","","Clallam","",NA
"Strait of Juan de Fuca from Dungeness Spit west to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from Dungeness Spit west to Lyre River","","Clallam","",NA
"Strait of Juan de Fuca from Dungeness spit west to Neah Bay","","Clallam","",NA
"Strait of Juan de Fuca from Dungeness spit west to Pacific Ocean, including Neah Bay","","Clallam","",NA
"Strait of Juan de Fuca from Dungeness Spit westward to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from Dungeness Spit westward to Low Point","","Clallam","",NA
"Strait of Juan de Fuca from Green Pt west to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from Green Pt west to Low Pt","","Clallam","",NA
"Strait of Juan de Fuca from Jefferson Co line to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from Jefferson Co line west to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from Low Point west to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from Low Point westward to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from Low Point/Lyre River east to the Jefferson County line","","Clallam","",NA
"Strait of Juan de Fuca from Low Point/Lyre River east to the Jefferson County line, excuding Dungeness Bay","","Clallam","",NA
"Strait of Juan de Fuca from Low Pt west to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from Lyre River/Low Point east to Dungeness Spit","","Clallam","",NA
"Strait of Juan de Fuca from Lyre River/Low Point east to the Jefferson County line","","Clallam","",NA
"Strait of Juan de Fuca from Lyre River/Low Point eastward to Dungeness Spit","","Clallam","",NA
"Strait of Juan de Fuca from Pillar Point east to Dungeness Spit","","Clallam","",NA
"Strait of Juan de Fuca from Pillar Point eastward to the Jefferson County line","","Clallam","",NA
"Strait of Juan de Fuca from Pillar Point west to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from Pillar Point westward to Cape Flattery","","Clallam","",NA
"Strait of Juan de Fuca from the Lyre River/Low Point east to Dungeness Spit","","Clallam","",NA
"Discovery Bay","","Clallam, Clallam/Jefferson, Jefferson","zone","21.01"
NA,"","Clallam, Island, Jefferson, King, Kitsap, Mason, Pacific, Pierce, San Juan, Skagit, Whatcom","",NA
"Coastal beaches from the Jefferson County line south to Westport","","Grays Harbor","",NA
"Coastal beaches from Westport South to the Oregon Boarder","","Grays Harbor","",NA
"Copalis Beach","","Grays Harbor","",NA
"Copalis beaches","","Grays Harbor","",NA
"Grays Harbor","","Grays Harbor","",NA
"Grays Harbor County","","Grays Harbor","",NA
