"location_orig","species"
"Alsea Bay","California mussel, Razor clam"
"Bandon Beach","California mussel"
"Bastendorf Beach to Cape Arago","California mussel, Razor clam"
"Bob Creek","California mussel, Razor clam"
"Cannon Beach-Ecola State Park","Razor clam"
"Cape Falcon-Oswald West State Park","Razor clam"
"Cape Meares","California mussel, Razor clam"
"Cape Meares-Bay Ocean Spit","Razor clam"
"Cape Perpetua-Neptune State Park","California mussel, Razor clam"
"Clatsop Beach","Razor clam"
"Clatsop Beach-Cannon Beach","Razor clam"
"Clatsop Beach-Del Rey","Razor clam"
"Clatsop Beach-Gearhart","Razor clam"
"Clatsop Beach-Seaside","California mussel, Razor clam"
"Clatsop Beach-South Jetty","California mussel, Razor clam"
"Clatsop Beach-Sunset","California mussel, Razor clam"
"Clatsop County Area","Razor clam"
"Columbia River-South Jetty","California mussel, Razor clam"
"Coos Bay-Lower","Razor clam"
"Coos Bay-North Jetty","California mussel, Razor clam"
"Coos Bay-South Slough","Razor clam"
"Coos Bay-Upper","California mussel, Razor clam"
"Food Safety Division","Razor clam"
"Gold Beach-Myers Creek","California mussel, Razor clam"
"Harris Beach","California mussel, Razor clam"
"Lane County Area","California mussel"
"Lincoln County Area","California mussel, Razor clam"
"N Lincoln County","California mussel, Razor clam"
"Nehalem Bay","California mussel, Razor clam"
"Nehalem Bay-Hanging","California mussel"
"Netarts Bay","California mussel, Razor clam"
"Newport Beach","Razor clam"
"Newport Beach-Agate Beach","California mussel, Razor clam"
"Newport Beach-North Jetty","California mussel, Razor clam"
"Newport Beach-South Beach","California mussel, Razor clam"
"Ona Beach State Park","California mussel, Razor clam"
"Port Orford-Hanging Site","California mussel, Razor clam"
"Seal Rock State Park","California mussel, Razor clam"
"Siletz Bay","California mussel, Razor clam"
"Silver Point","California mussel, Razor clam"
"Siuslaw Bay","California mussel, Razor clam"
"Tillamook Bay","California mussel, Razor clam"
"Tillamook Bay-Hanging Site","California mussel, Razor clam"
"Tillamook County Area","Razor clam"
"Umpqua River-North Jetty","Razor clam"
"Umpqua River-South Jetty","California mussel"
"Waldport-Beach","Razor clam"
"Whiskey Run/Mid-Coos County Beaches","California mussel, Razor clam"
